DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 228
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating |  next_event_date  | revenue 
       92 | Dona Whittleton      | Online      |          729.24 | Swimsuit    | Verity    | Instantaneous Costume Changes        |      7 | 01 September 2024 | 4670.84
       93 | Margareta Hooks      | Crewe       |          265.88 | Parts       | Katherine | wiggle ears                          |      2 | 06 September 2024 | 2925.11
       94 | Livvy Brattan        | Stockholm   |          732.49 | Promotional | Paul      | Instantaneous Costume Changes        |      9 | 05 September 2023 |  3356.7
       95 | Skyler Arend         | Los Angeles |          325.12 | Fashion     | Rose      | parallel parking                     |      9 | 26 December 2023  | 8178.69
       96 | Jeni Michel          | Los Angeles |          613.03 | Commercial  | Kev       | double jointed thumbs                |      6 | 22 September 2023 | 4829.27
       97 | Ajay Giametti        | Los Angeles |          126.19 | Fitness     | Verity    | wiggle ears                          |      3 | 05 July 2023      | 9075.43
       98 | Micaela Galliford    | Stockholm   |           61.11 | Fashion     | Christian | Telepathic Puns                      |      0 | 15 March 2023     |  7092.3
       99 | Rayshell Beresfore   | Stockholm   |          376.86 | Swimsuit    | Kev       | Invisible Burping                    |      2 | 27 July 2025      | 9671.18
      100 | Whitman Neads        | Online      |          804.73 | Fashion     | Paul      | parallel parking                     |      2 | 30 October 2024   | 6397.33
      101 | Nadia Grimmer        | Stockholm   |          900.55 | Promotional | Kev       | Infinite Clumsiness                  |      3 | 26 March 2022     | 9305.22
      102 | Lucie Demer          | Athens      |          541.81 | Fitness     | Paul      | Unlimited Laughter Generation        |      3 | 08 February 2022  | 9538.42
      103 | Violette Tombleson   | Athens      |          936.06 | Swimsuit    | Verity    | Mildly Annoying Whistle              |      4 | 23 April 2022     | 8980.86
      104 | Jozef Esler          | Athens      |           563.6 | Parts       | Christian | human GPS                            |      7 | 07 April 2025     | 8480.52
      105 | Jamey Golley         | Athens      |          867.13 | Parts       | Rose      | double jointed thumbs                |      5 | 23 August 2025    |  8027.5
      106 | Colin Palatini       | Athens      |          877.37 | Parts       | Christian | double jointed thumbs                |      4 | 01 January 2025   | 2085.11
      107 | Delilah Ducker       | Los Angeles |           45.43 | Parts       | Rose      | Invisible Burping                    |      5 | 07 August 2022    | 8934.36
      108 | Regen Aldrin         | Los Angeles |          440.61 | Fitness     | Christian | Invisible Sneeze                     |      4 | 07 June 2024      |    2945
      109 | Millard Longhorn     | Athens      |          510.92 | Commercial  | Paul      | wiggle ears                          |      2 | 11 May 2024       |  1126.5
      110 | Bayard Camilleri     | Milan       |          540.52 | Fashion     | Verity    | Superhuman Hiccup Control            |      2 | 29 October 2022   | 3700.51
      111 | Jacky Ibbeson        | Stockholm   |          789.08 | Promotional | Katherine | Invisible Sneeze                     |      2 | 25 April 2025     | 9967.48
      112 | Jared Slimming       | Online      |          817.63 | Commercial  | Kev       | knowing when it's going to rain      |      1 | 23 March 2023     |  4964.9
      113 | Hervey Mickleburgh   | Crewe       |          951.77 | Parts       | Christian | Super Slow Motion                    |      4 | 30 May 2025       | 4824.29
      114 | Drugi St. Leger      | Los Angeles |          639.33 | Promotional | Katherine | finding loose change                 |      1 | 29 April 2023     | 7228.36
      115 | Cyb Pryn             | Los Angeles |          128.81 | Swimsuit    | Paul      | touch nose with tongue               |      0 | 26 August 2025    | 3327.48
      116 | Ingemar Gaul         | Online      |          688.47 | Glamour     | Alex      | Extreme Sarcasm Power                |      5 | 22 November 2025  |  4189.8
      117 | Millard Scurrer      | Milan       |           836.9 | Promotional | Paul      | Unlimited Dance Moves                |      6 | 24 September 2022 | 9885.37
      118 | Sibyl Strathman      | Milan       |          225.92 | Fashion     | Alex      | forgetting birthdays                 |      1 | 04 September 2025 | 9410.86
      119 | Janella Clearie      | Stockholm   |          648.68 | Commercial  | Verity    | Super Ticklish Fingers               |      0 | 31 October 2024   | 9483.61
      120 | Kyle Bester          | Athens      |          180.42 | Commercial  | Verity    | handstands                           |      1 | 18 October 2022   | 8509.09
      121 | Anna diane Blondin   | Milan       |          502.86 | Fitness     | Christian | freckles on nose                     |      3 | 20 January 2024   | 2460.48
      122 | Marcello Filliskirk  | Online      |          550.39 | Fashion     | Rose      | movie quotes                         |      7 | 06 February 2022  | 6632.68
      123 | Toni Drei            | Athens      |          194.82 | Swimsuit    | Verity    | Unbreakable Shoelaces                |      7 | 03 February 2023  | 1133.78
      124 | Orv Hurle            | Los Angeles |           581.7 | Fashion     | Alex      | Incredible Nose Hair Growth          |      6 | 16 August 2025    | 4162.02
      125 | Karil Jerwood        | Los Angeles |          345.32 | Promotional | Christian | handstands                           |      4 | 18 March 2024     | 5611.36
      126 | Devan Henrie         | Crewe       |          970.13 | Fashion     | Rose      | freckles on nose                     |      7 | 10 November 2022  | 2958.87
      127 | Dorie Sperwell       | Milan       |          604.15 | Commercial  | Christian | movie quotes                         |      5 | 30 July 2022      | 7292.63
      128 | Hale Fairburn        | Milan       |            84.4 | Promotional | Verity    | finding loose change                 |      7 | 10 May 2024       | 6096.36
      129 | Lenard Lumm          | Athens      |          114.18 | Fashion     | Alex      | Invisible Sneeze                     |      2 | 07 July 2023      | 7661.66
      130 | Celka Paladino       | London      |          288.15 | Parts       | Kev       | Extreme Paper Cut                    |      7 | 06 October 2024   | 5309.95
      131 | Lona Firks           | Athens      |          898.42 | Glamour     | Rose      | freckles on nose                     |      2 | 17 September 2024 | 3841.03
      132 | Bank Hurl            | Crewe       |           15.53 | Glamour     | Christian | human GPS                            |      7 | 12 May 2022       | 1053.43
      133 | Sheela Illsley       | Stockholm   |          759.93 | Fashion     | Paul      | Super Ticklish Fingers               |      0 | 26 November 2023  | 1456.66
      134 | Sammy Mohun          | Online      |          565.68 | Fashion     | Rose      | Instantaneous Spoon Bending          |      9 | 29 January 2022   | 8979.97
      135 | Anatole Fearnyhough  | London      |          123.27 | Parts       | Kev       | Invisible Air Guitar Playing         |      3 | 18 April 2023     | 1427.38
      136 | Carey Stennes        | Online      |          960.39 | Fashion     | Paul      | Telepathic Yawn                      |      8 | 17 August 2024    | 4065.64
      137 | Ber Cawkwell         | Crewe       |          760.11 | Promotional | Christian | freckles on nose                     |      8 | 22 January 2024   | 6097.88
      138 | Bettina Brahmer      | Stockholm   |          247.11 | Promotional | Verity    | Telepathic Yawn                      |      4 | 01 April 2022     | 9210.76
      139 | Clemens Gaythorpe    | Stockholm   |          393.83 | Commercial  | Kev       | wiggle ears                          |      1 | 05 February 2022  | 3307.84
      140 | Dalli Wicklen        | Stockholm   |          455.57 | Fashion     | Kev       | perfect pitch                        |      5 | 22 August 2022    | 3224.95
      141 | Tildi Grigoryov      | London      |          285.38 | Glamour     | Rose      | Mildly Annoying Whistle              |      5 | 15 September 2022 | 5845.68
      142 | Phylis Wildor        | Online      |          988.45 | Commercial  | Christian | Telepathic Puns                      |      8 | 28 February 2022  | 6430.45
      143 | Donna Spofford       | Athens      |          138.01 | Fitness     | Katherine | Invisible Sneeze                     |      9 | 14 December 2025  | 1411.17
      144 | Nanny Camerana       | Los Angeles |          717.28 | Fitness     | Paul      | Superhuman Lip Syncing               |      1 | 05 May 2022       | 4115.49
      145 | Melina Heilds        | Online      |          280.63 | Fashion     | Alex      | Superhuman Lip Syncing               |      3 | 06 March 2022     | 8613.84
      146 | Monti Titlow         | Athens      |          643.41 | Parts       | Rose      | Extreme Paper Cut                    |      8 | 21 July 2025      | 6299.99
      147 | Giacopo Cubley       | Online      |          585.04 | Glamour     | Verity    | Turn Anything into a Dad Joke        |      2 | 24 January 2023   | 4455.07
      148 | West Tattersill      | Online      |          540.01 | Parts       | Christian | forgetting birthdays                 |      4 | 29 April 2022     | 9696.84
      149 | Shepard Rawcliffe    | Athens      |          819.18 | Fitness     | Katherine | Turn Anything into a Dad Joke        |      5 | 20 June 2023      | 6523.19
      150 | Waldo Dary           | Los Angeles |          622.64 | Fitness     | Christian | Incredible Nose Hair Growth          |      6 | 10 August 2024    | 2418.04
      151 | Daveta Mather        | Athens      |          755.48 | Promotional | Rose      | Incredible Juggling Skills           |     10 | 10 March 2022     | 3097.55
      152 | Robinson Sapsforde   | Crewe       |          539.74 | Glamour     | Christian | Telepathic Puns                      |      5 | 17 December 2024  |  5615.6
      153 | Bjorn Tootin         | Crewe       |          212.03 | Commercial  | Rose      | perfect pitch                        |     10 | 04 July 2024      | 4732.05
      154 | Cristal Jorck        | Athens      |          796.53 | Promotional | Verity    | perfect pitch                        |      9 | 15 June 2023      | 2201.35
      155 | Brandice Lamberton   | Los Angeles |          712.52 | Promotional | Katherine | Unbreakable Shoelaces                |      0 | 31 August 2025    | 1905.51
      156 | Auguste Fisbey       | Los Angeles |           57.17 | Glamour     | Paul      | Infinite Dad Jokes                   |      3 | 07 October 2024   | 4119.01
      157 | Amber Nisuis         | Los Angeles |           40.47 | Fitness     | Rose      | Incredible Nose Hair Growth          |      8 | 20 December 2024  | 3022.28
      158 | Zared Hartropp       | Athens      |          294.07 | Commercial  | Katherine | Incredible Nose Hair Growth          |      3 | 03 May 2022       | 9878.76
      159 | Morlee Thomtson      | Stockholm   |          927.93 | Commercial  | Christian | Uncontrollable Tickling              |      9 | 11 May 2023       | 1704.39
      160 | Kenny Petrelluzzi    | Milan       |          853.31 | Commercial  | Alex      | wiggle ears                          |      3 | 07 August 2023    | 7216.39
      161 | Veronica Guidoni     | London      |          276.57 | Commercial  | Rose      | touch nose with tongue               |      7 | 03 December 2024  | 3793.78
      162 | Cloris Durrell       | Athens      |          814.26 | Commercial  | Rose      | Ability to Speak in Animal Languages |      6 | 15 June 2025      | 8471.67
      163 | Ingeberg Wooderson   | Crewe       |          669.02 | Glamour     | Christian | fall asleep anywhere                 |      0 | 21 January 2024   | 5151.73
      164 | Vince Dendon         | Stockholm   |           353.1 | Swimsuit    | Rose      | Infinite Hiccups                     |      7 | 26 October 2023   | 1436.69
      165 | La verne Scroxton    | Los Angeles |          917.21 | Commercial  | Katherine | Uncontrollable Tickling              |      3 | 07 March 2022     | 1800.06
      166 | Even Fayerbrother    | London      |          382.68 | Swimsuit    | Alex      | Super Sticky Fingers                 |      2 | 22 February 2023  | 3228.12
      167 | Lottie Oulner        | Athens      |             725 | Fitness     | Verity    | Infinite Clumsiness                  |      4 | 24 September 2024 | 3258.72
      168 | Ker Kidman           | London      |          168.78 | Swimsuit    | Paul      | Unlimited Dance Moves                |      3 | 22 February 2023  | 9135.05
      169 | Codie Warters        | Milan       |           23.24 | Glamour     | Katherine | Turn Anything into a Dad Joke        |      6 | 23 December 2022  | 1086.75
      170 | Tito Naisbit         | Los Angeles |          235.89 | Fitness     | Kev       | Extreme Rubber Face Flexibility      |      5 | 25 January 2022   |  5136.9
      171 | Tomkin Soan          | Los Angeles |          324.56 | Promotional | Paul      | Invisible Sneeze                     |      7 | 20 April 2022     |  9400.5
      172 | Lotty Kristoffersen  | Stockholm   |          797.85 | Swimsuit    | Rose      | Infinite Dad Jokes                   |     10 | 03 November 2023  |  5868.6
      173 | Esma Penning         | London      |          696.91 | Parts       | Verity    | Incredible Nose Hair Growth          |      6 | 16 December 2022  | 6305.37
      174 | Tony Rime            | Los Angeles |          544.18 | Fitness     | Paul      | Incredible Juggling Skills           |      7 | 10 April 2023     | 3280.61
      175 | Evangelia Cristea    | Los Angeles |          289.02 | Parts       | Paul      | Invisible Air Guitar Playing         |      8 | 03 March 2022     | 2123.16
      176 | Tyrone Beckmann      | Online      |          900.35 | Swimsuit    | Katherine | Extreme Paper Cut                    |      8 | 23 December 2023  | 1265.33
      177 | Sharai Vines         | Stockholm   |          114.29 | Swimsuit    | Verity    | Mind Reading Comedy                  |      4 | 23 December 2025  | 7281.33
      178 | Eveline De Paoli     | Milan       |           13.81 | Commercial  | Christian | handstands                           |      9 | 29 November 2022  | 7476.02
      179 | Janel Speechley      | Milan       |           39.38 | Parts       | Katherine | Infinite Dad Jokes                   |      2 | 30 August 2025    | 7675.17
      180 | Nancey Moores        | Online      |           87.32 | Swimsuit    | Kev       | wiggle ears                          |     10 | 12 April 2024     | 8417.73
      181 | Hilton Budding       | Milan       |          653.81 | Commercial  | Katherine | Ability to Speak in Animal Languages |      9 | 27 August 2023    | 9677.18
      182 | Rodrique Shackell    | Milan       |          733.96 | Glamour     | Alex      | Instantaneous Spoon Bending          |      3 | 20 September 2024 | 4259.19
      183 | Dredi Wharby         | London      |          719.06 | Commercial  | Kev       | Mildly Annoying Whistle              |      9 | 10 July 2023      | 9449.54
      184 | Joelie Bolmann       | Athens      |          881.07 | Commercial  | Alex      | Extreme Rubber Face Flexibility      |      3 | 30 January 2022   | 8584.72
      185 | Mil Stivers          | London      |           925.9 | Fashion     | Kev       | lucky charm                          |      6 | 27 February 2023  | 4573.82
      186 | Melissa Albers       | Milan       |          799.12 | Glamour     | Paul      | Uncontrollable Tickling              |      0 | 08 October 2022   | 6013.96
      187 | Anatol Culligan      | London      |          606.07 | Promotional | Verity    | Superhuman Lip Syncing               |      4 | 27 October 2025   | 7542.99
      188 | Merlina Beamson      | Athens      |          434.15 | Swimsuit    | Paul      | Extreme Paper Cut                    |      5 | 23 May 2023       | 3035.88
      189 | Ernestus Dyer        | London      |           43.58 | Parts       | Paul      | Invisible Sneeze                     |     10 | 18 June 2024      | 8226.02
      190 | Raquela Kalkhoven    | London      |          985.08 | Fitness     | Rose      | parallel parking                     |      0 | 25 August 2023    | 7535.87
      191 | Bili Wilkins         | Los Angeles |          335.24 | Promotional | Verity    | finding loose change                 |      2 | 03 May 2025       | 8759.93
      192 | Wye Ferebee          | Crewe       |            41.8 | Swimsuit    | Paul      | movie quotes                         |      6 | 28 May 2023       | 9076.46
      193 | Jackie Preon         | Athens      |          254.08 | Swimsuit    | Rose      | lucky charm                          |      6 | 10 September 2024 | 1848.03
      194 | Patrice Ferrier      | Athens      |           495.4 | Swimsuit    | Alex      | Super Ticklish Fingers               |      4 | 07 October 2023   | 5251.42
      195 | Fanchon Strass       | Milan       |          247.64 | Promotional | Kev       | Incredible Nose Hair Growth          |      2 | 14 March 2023     |  6474.5
      196 | Adriano Carrick      | Milan       |          935.35 | Promotional | Christian | touch nose with tongue               |      6 | 30 March 2023     | 3144.76
      197 | Corette Forgan       | Crewe       |           288.4 | Fitness     | Katherine | Invisible Air Guitar Playing         |      3 | 08 November 2025  | 4296.85
      198 | Lyndsay Schirak      | Crewe       |          600.23 | Glamour     | Christian | wiggle ears                          |      6 | 10 December 2025  | 8796.78
      199 | Johnny Tambling      | London      |          317.52 | Fashion     | Katherine | lucky charm                          |     10 | 19 February 2025  | 1623.87
      200 | Constantin Hagard    | Stockholm   |          374.58 | Glamour     | Christian | Telepathic Yawn                      |      7 | 05 February 2024  | 4923.63
      201 | Shannon Dougharty    | London      |           65.94 | Commercial  | Alex      | handstands                           |      2 | 20 June 2023      | 1487.82
      202 | Orly Gasking         | Stockholm   |          597.45 | Promotional | Kev       | fall asleep anywhere                 |      1 | 18 March 2024     |  5413.6
      203 | Stanleigh Garwood    | Stockholm   |           30.79 | Fashion     | Katherine | Super Slow Motion                    |      6 | 05 May 2023       |  3115.1
      204 | Flossy Thurling      | Los Angeles |           803.8 | Fitness     | Paul      | Infinite Dad Jokes                   |      7 | 31 October 2024   | 8659.08
      205 | Patrice Philippson   | Crewe       |          590.69 | Promotional | Rose      | touch nose with tongue               |      9 | 09 September 2024 | 7178.51
      206 | Kiley Hafner         | Milan       |          914.95 | Promotional | Christian | freckles on nose                     |      7 | 30 August 2025    |  5511.4
