DROP DATABASE
CREATE DATABASE
You are now connected to database "topmodelsql" as user "ian".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 228
 split_model_id |      model_name      |    area     | price_per_event |  category   |   agent   |       brand       |                trait                 | rating |  next_event_date  | revenue 
             53 | Jervis Mathey        | Los Angeles |          969.88 | Parts       | Paul      | Instagram         | Instantaneous Spoon Bending          |      4 | 28 December 2024  |    8553
             54 | Toinette Machon      | Crewe       |          953.21 | Commercial  | Alex      | Gucci             | finding loose change                 |      4 | 22 June 2024      | 7406.08
             55 | Carrie Gerling       | London      |          358.29 | Commercial  | Katherine | Stella McCartney  | double jointed thumbs                |      7 | 14 February 2022  |    5109
             56 | Ninetta Pettwood     | Milan       |          546.79 | Swimsuit    | Katherine | Prada             | Instantaneous Spoon Bending          |      5 | 14 March 2022     | 8407.88
             57 | Scot Connow          | Los Angeles |          143.37 | Commercial  | Christian | Vinted            | Superhuman Lip Syncing               |      7 | 11 March 2022     | 2910.15
             58 | Zandra Siggs         | Milan       |          274.27 | Promotional | Christian | Prada             | Super Sticky Fingers                 |      3 | 25 December 2025  | 2010.34
             59 | Carmon Orfeur        | Los Angeles |          691.41 | Fitness     | Christian | Salomon           | Infinite Clumsiness                  |      8 | 26 May 2024       | 7510.91
             60 | Meyer Potapczuk      | Athens      |          692.23 | Fashion     | Rose      | Reebok            | Unlimited Laughter Generation        |      6 | 15 September 2025 | 2827.29
             61 | Melisandra Achurch   | Stockholm   |           20.99 | Fashion     | Christian | Poundland         | Super Ticklish Fingers               |      5 | 04 March 2024     | 9410.09
             62 | Hervey Fadell        | Online      |          104.36 | Glamour     | Kev       | HSBC              | forgetting birthdays                 |      2 | 08 April 2025     | 2261.26
             63 | Daron Humpage        | Stockholm   |          412.53 | Swimsuit    | Verity    | Salomon           | forgetting birthdays                 |      6 | 11 April 2023     | 3763.64
             64 | Leodora Trembath     | Online      |           82.59 | Glamour     | Katherine | Adidas            | Infinite Hiccups                     |      0 | 21 January 2022   | 2375.73
             65 | Gregoor Pearne       | Los Angeles |          745.96 | Swimsuit    | Katherine | HSBC              | Superhuman Hiccup Control            |      2 | 20 October 2024   | 5348.84
             66 | Tobin Eskell         | Los Angeles |           23.65 | Fitness     | Kev       | Louboutin         | Unlimited Laughter Generation        |      2 | 14 October 2022   | 9915.01
             67 | Eugenia McCraine     | Los Angeles |          449.59 | Glamour     | Alex      | Fendi             | Invisible Sneeze                     |      3 | 29 September 2022 | 1263.75
             68 | Gus Disman           | Crewe       |          519.32 | Promotional | Katherine | Charities         | movie quotes                         |      1 | 11 March 2023     |  4491.6
             69 | Barbabas Biles       | Stockholm   |          694.95 | Glamour     | Katherine | Ebay              | Super Speed Typing                   |      3 | 21 February 2023  | 6153.47
             70 | Titus Lexa           | Crewe       |           261.3 | Fashion     | Alex      | Dior              | fall asleep anywhere                 |      4 | 04 February 2024  | 6448.92
             71 | Grethel Matantsev    | London      |          876.86 | Fitness     | Kev       | Salomon           | Infinite Clumsiness                  |      5 | 08 June 2022      | 5558.62
             72 | Lesly Mallinar       | London      |           833.1 | Parts       | Katherine | Charities         | handstands                           |      9 | 20 March 2024     | 4036.88
             73 | Agnesse Peniman      | London      |          462.78 | Commercial  | Rose      | Louboutin         | Super Slow Motion                    |      9 | 13 June 2025      | 5597.08
             74 | Bendick Douglass     | Crewe       |          945.58 | Glamour     | Kev       | Versace           | Super Ticklish Fingers               |      4 | 12 July 2023      | 1474.44
             75 | Farleigh Dunsire     | Athens      |          272.13 | Glamour     | Rose      | Chanel            | lucky charm                          |      7 | 04 September 2022 | 9035.74
             76 | Verena Houtby        | Online      |          348.59 | Glamour     | Christian | Salomon           | lucky charm                          |      2 | 27 January 2023   | 8403.66
             77 | Yetty Wildblood      | Crewe       |          261.59 | Commercial  | Alex      | Stella McCartney  | double jointed thumbs                |      7 | 09 August 2022    | 5589.56
             78 | Hagan Romanini       | London      |          965.73 | Commercial  | Rose      | Ikea              | Uncontrollable Tickling              |      0 | 07 September 2022 | 6381.88
             79 | Coletta Jonson       | Crewe       |          267.08 | Fashion     | Christian | Louboutin         | double jointed thumbs                |      0 | 01 September 2023 |  2414.3
             80 | Jobyna Denisevich    | Los Angeles |          462.76 | Fitness     | Kev       | Patagonia         | freckles on nose                     |      7 | 30 March 2025     |  4860.3
             81 | Nels Jaumet          | Los Angeles |          921.94 | Glamour     | Paul      | Prada             | finding loose change                 |      2 | 15 January 2024   | 3398.12
             82 | Harman Callam        | London      |          217.82 | Swimsuit    | Paul      | Balenciaga        | forgetting birthdays                 |     10 | 04 October 2022   |  5207.4
             83 | Roderick Piotrkowski | Los Angeles |          677.03 | Promotional | Rose      | Fendi             | Extreme Paper Cut                    |      7 | 18 January 2022   | 3370.55
             84 | Dniren Sulley        | Online      |          678.53 | Glamour     | Verity    | Poundland         | parallel parking                     |     10 | 30 March 2025     | 5402.89
             85 | Shanon Bodman        | London      |          596.48 | Fashion     | Kev       | Adidas            | finding loose change                 |      4 | 11 September 2024 | 9968.41
             86 | Keven Tanby          | Milan       |          535.66 | Fashion     | Verity    | Patagonia         | Mildly Annoying Whistle              |      3 | 21 October 2024   | 9427.66
             87 | Filia Prest          | London      |          482.12 | Commercial  | Kev       | Oricle            | Unlimited Laughter Generation        |      8 | 09 April 2025     | 2174.42
             88 | Margareta Sartain    | Online      |          984.61 | Promotional | Kev       | Aldi              | movie quotes                         |      7 | 27 December 2024  | 9933.17
             89 | Janey Fluin          | Crewe       |          263.88 | Glamour     | Verity    | Aldi              | handstands                           |      1 | 02 May 2024       | 4855.92
             90 | Darill Rosenthal     | London      |          951.66 | Fitness     | Paul      | HSBC              | movie quotes                         |      3 | 20 April 2025     | 8437.51
             91 | Theodoric Henze      | Crewe       |           34.22 | Promotional | Alex      | Gucci             | lucky charm                          |      6 | 14 April 2022     |  5422.5
             92 | Delinda Raubenheim   | Crewe       |          750.85 | Swimsuit    | Verity    | Ebay              | handstands                           |     10 | 28 November 2023  | 9757.66
             93 | Haslett McTrustey    | London      |          961.98 | Commercial  | Alex      | Charities         | Extreme Sarcasm Power                |      9 | 17 July 2024      | 3188.04
             94 | Holly Thwaites       | Milan       |          257.56 | Swimsuit    | Alex      | Adidas            | freckles on nose                     |      1 | 06 January 2022   | 5813.02
             95 | Georgie Sweetman     | Online      |          282.08 | Fitness     | Verity    | Amazon            | handstands                           |      2 | 10 April 2023     | 7200.32
             96 | Stacey Congreve      | London      |          711.79 | Promotional | Kev       | Dior              | fall asleep anywhere                 |      0 | 14 May 2025       |  3232.8
             97 | Corbie Jillings      | Stockholm   |          459.55 | Fitness     | Christian | Versace           | Infinite Hiccups                     |      0 | 02 August 2025    | 2907.12
             98 | Kennie Phipp         | Online      |          784.17 | Promotional | Verity    | Ebay              | lucky charm                          |     10 | 26 July 2025      | 5466.73
             99 | Pryce Tolotti        | Online      |          109.59 | Swimsuit    | Verity    | Buff              | Super Ticklish Fingers               |      2 | 09 January 2025   | 7511.87
            100 | Marji Semorad        | Stockholm   |          335.98 | Fashion     | Rose      | Salomon           | Superhuman Hiccup Control            |      6 | 04 June 2022      | 9433.66
            101 | Kissie Jandel        | Milan       |          370.34 | Glamour     | Christian | Ikea              | Super Sticky Fingers                 |      2 | 27 June 2022      | 6101.96
            102 | Halimeda Cordeix     | Milan       |          313.71 | Commercial  | Kev       | Gucci             | Invisible Sneeze                     |     10 | 22 April 2023     | 8389.94
            103 | Orin Smuth           | Crewe       |          138.11 | Swimsuit    | Rose      | Chanel            | Super Sticky Fingers                 |      6 | 07 July 2025      |  1706.8
            104 | Constanta Teas       | Los Angeles |          698.73 | Fashion     | Kev       | Chanel            | Instantaneous Spoon Bending          |      3 | 23 May 2023       |  9167.1
            105 | Mano Arnecke         | Stockholm   |          372.71 | Commercial  | Katherine | Prada             | perfect pitch                        |      5 | 08 June 2025      | 4715.83
            106 | Dona Whittleton      | Online      |          729.24 | Swimsuit    | Verity    | Salomon           | Instantaneous Costume Changes        |      7 | 01 September 2024 | 4670.84
            107 | Margareta Hooks      | Crewe       |          265.88 | Parts       | Katherine | Stella McCartney  | wiggle ears                          |      2 | 06 September 2024 | 2925.11
            108 | Livvy Brattan        | Stockholm   |          732.49 | Promotional | Paul      | Oricle            | Instantaneous Costume Changes        |      9 | 05 September 2023 |  3356.7
            109 | Skyler Arend         | Los Angeles |          325.12 | Fashion     | Rose      | Nike              | parallel parking                     |      9 | 26 December 2023  | 8178.69
            110 | Jeni Michel          | Los Angeles |          613.03 | Commercial  | Kev       | Vinted            | double jointed thumbs                |      6 | 22 September 2023 | 4829.27
            111 | Ajay Giametti        | Los Angeles |          126.19 | Fitness     | Verity    | Louboutin         | wiggle ears                          |      3 | 05 July 2023      | 9075.43
            112 | Micaela Galliford    | Stockholm   |           61.11 | Fashion     | Christian | Prada             | Telepathic Puns                      |      0 | 15 March 2023     |  7092.3
            113 | Rayshell Beresfore   | Stockholm   |          376.86 | Swimsuit    | Kev       | Buff              | Invisible Burping                    |      2 | 27 July 2025      | 9671.18
            114 | Whitman Neads        | Online      |          804.73 | Fashion     | Paul      | Instagram         | parallel parking                     |      2 | 30 October 2024   | 6397.33
            115 | Nadia Grimmer        | Stockholm   |          900.55 | Promotional | Kev       | Salomon           | Infinite Clumsiness                  |      3 | 26 March 2022     | 9305.22
            116 | Lucie Demer          | Athens      |          541.81 | Fitness     | Paul      | Louis Vuitton     | Unlimited Laughter Generation        |      3 | 08 February 2022  | 9538.42
            117 | Violette Tombleson   | Athens      |          936.06 | Swimsuit    | Verity    | Ebay              | Mildly Annoying Whistle              |      4 | 23 April 2022     | 8980.86
            118 | Jozef Esler          | Athens      |           563.6 | Parts       | Christian | Dior              | human GPS                            |      7 | 07 April 2025     | 8480.52
            119 | Jamey Golley         | Athens      |          867.13 | Parts       | Rose      | HSBC              | double jointed thumbs                |      5 | 23 August 2025    |  8027.5
            120 | Colin Palatini       | Athens      |          877.37 | Parts       | Christian | Wayfair           | double jointed thumbs                |      4 | 01 January 2025   | 2085.11
            121 | Delilah Ducker       | Los Angeles |           45.43 | Parts       | Rose      | Adidas            | Invisible Burping                    |      5 | 07 August 2022    | 8934.36
            122 | Regen Aldrin         | Los Angeles |          440.61 | Fitness     | Christian | Adidas            | Invisible Sneeze                     |      4 | 07 June 2024      |    2945
            123 | Millard Longhorn     | Athens      |          510.92 | Commercial  | Paul      | Amazon            | wiggle ears                          |      2 | 11 May 2024       |  1126.5
            124 | Bayard Camilleri     | Milan       |          540.52 | Fashion     | Verity    | Charities         | Superhuman Hiccup Control            |      2 | 29 October 2022   | 3700.51
            125 | Jacky Ibbeson        | Stockholm   |          789.08 | Promotional | Katherine | Harrods           | Invisible Sneeze                     |      2 | 25 April 2025     | 9967.48
            126 | Jared Slimming       | Online      |          817.63 | Commercial  | Kev       | Oricle            | knowing when it's going to rain      |      1 | 23 March 2023     |  4964.9
            127 | Hervey Mickleburgh   | Crewe       |          951.77 | Parts       | Christian | Aldi              | Super Slow Motion                    |      4 | 30 May 2025       | 4824.29
            128 | Drugi St. Leger      | Los Angeles |          639.33 | Promotional | Katherine | Harrods           | finding loose change                 |      1 | 29 April 2023     | 7228.36
            129 | Cyb Pryn             | Los Angeles |          128.81 | Swimsuit    | Paul      | Oricle            | touch nose with tongue               |      0 | 26 August 2025    | 3327.48
            130 | Ingemar Gaul         | Online      |          688.47 | Glamour     | Alex      | Ikea              | Extreme Sarcasm Power                |      5 | 22 November 2025  |  4189.8
            131 | Millard Scurrer      | Milan       |           836.9 | Promotional | Paul      | Buff              | Unlimited Dance Moves                |      6 | 24 September 2022 | 9885.37
            132 | Sibyl Strathman      | Milan       |          225.92 | Fashion     | Alex      | H&M               | forgetting birthdays                 |      1 | 04 September 2025 | 9410.86
            133 | Janella Clearie      | Stockholm   |          648.68 | Commercial  | Verity    | Buff              | Super Ticklish Fingers               |      0 | 31 October 2024   | 9483.61
            134 | Kyle Bester          | Athens      |          180.42 | Commercial  | Verity    | Vinted            | handstands                           |      1 | 18 October 2022   | 8509.09
            135 | Anna diane Blondin   | Milan       |          502.86 | Fitness     | Christian | Salomon           | freckles on nose                     |      3 | 20 January 2024   | 2460.48
            136 | Marcello Filliskirk  | Online      |          550.39 | Fashion     | Rose      | Charities         | movie quotes                         |      7 | 06 February 2022  | 6632.68
            137 | Toni Drei            | Athens      |          194.82 | Swimsuit    | Verity    | Balenciaga        | Unbreakable Shoelaces                |      7 | 03 February 2023  | 1133.78
            138 | Orv Hurle            | Los Angeles |           581.7 | Fashion     | Alex      | Oricle            | Incredible Nose Hair Growth          |      6 | 16 August 2025    | 4162.02
            139 | Karil Jerwood        | Los Angeles |          345.32 | Promotional | Christian | H&M               | handstands                           |      4 | 18 March 2024     | 5611.36
            140 | Devan Henrie         | Crewe       |          970.13 | Fashion     | Rose      | Balenciaga        | freckles on nose                     |      7 | 10 November 2022  | 2958.87
            141 | Dorie Sperwell       | Milan       |          604.15 | Commercial  | Christian | Salomon           | movie quotes                         |      5 | 30 July 2022      | 7292.63
            142 | Hale Fairburn        | Milan       |            84.4 | Promotional | Verity    | Amazon            | finding loose change                 |      7 | 10 May 2024       | 6096.36
            143 | Lenard Lumm          | Athens      |          114.18 | Fashion     | Alex      | HSBC              | Invisible Sneeze                     |      2 | 07 July 2023      | 7661.66
            144 | Celka Paladino       | London      |          288.15 | Parts       | Kev       | HSBC              | Extreme Paper Cut                    |      7 | 06 October 2024   | 5309.95
            145 | Lona Firks           | Athens      |          898.42 | Glamour     | Rose      | Patagonia         | freckles on nose                     |      2 | 17 September 2024 | 3841.03
            146 | Bank Hurl            | Crewe       |           15.53 | Glamour     | Christian | Versace           | human GPS                            |      7 | 12 May 2022       | 1053.43
            147 | Sheela Illsley       | Stockholm   |          759.93 | Fashion     | Paul      | Vinted            | Super Ticklish Fingers               |      0 | 26 November 2023  | 1456.66
            148 | Sammy Mohun          | Online      |          565.68 | Fashion     | Rose      | H&M               | Instantaneous Spoon Bending          |      9 | 29 January 2022   | 8979.97
            149 | Anatole Fearnyhough  | London      |          123.27 | Parts       | Kev       | Balenciaga        | Invisible Air Guitar Playing         |      3 | 18 April 2023     | 1427.38
            150 | Carey Stennes        | Online      |          960.39 | Fashion     | Paul      | Instagram         | Telepathic Yawn                      |      8 | 17 August 2024    | 4065.64
            151 | Ber Cawkwell         | Crewe       |          760.11 | Promotional | Christian | Charities         | freckles on nose                     |      8 | 22 January 2024   | 6097.88
            152 | Bettina Brahmer      | Stockholm   |          247.11 | Promotional | Verity    | Adidas            | Telepathic Yawn                      |      4 | 01 April 2022     | 9210.76
            153 | Clemens Gaythorpe    | Stockholm   |          393.83 | Commercial  | Kev       | H&M               | wiggle ears                          |      1 | 05 February 2022  | 3307.84
            154 | Dalli Wicklen        | Stockholm   |          455.57 | Fashion     | Kev       | Givenchy          | perfect pitch                        |      5 | 22 August 2022    | 3224.95
            155 | Tildi Grigoryov      | London      |          285.38 | Glamour     | Rose      | HSBC              | Mildly Annoying Whistle              |      5 | 15 September 2022 | 5845.68
            156 | Phylis Wildor        | Online      |          988.45 | Commercial  | Christian | H&M               | Telepathic Puns                      |      8 | 28 February 2022  | 6430.45
            157 | Donna Spofford       | Athens      |          138.01 | Fitness     | Katherine | Versace           | Invisible Sneeze                     |      9 | 14 December 2025  | 1411.17
            158 | Nanny Camerana       | Los Angeles |          717.28 | Fitness     | Paul      | Chanel            | Superhuman Lip Syncing               |      1 | 05 May 2022       | 4115.49
            159 | Melina Heilds        | Online      |          280.63 | Fashion     | Alex      | Harrods           | Superhuman Lip Syncing               |      3 | 06 March 2022     | 8613.84
            160 | Monti Titlow         | Athens      |          643.41 | Parts       | Rose      | Marks and Spencer | Extreme Paper Cut                    |      8 | 21 July 2025      | 6299.99
            161 | Giacopo Cubley       | Online      |          585.04 | Glamour     | Verity    | Wayfair           | Turn Anything into a Dad Joke        |      2 | 24 January 2023   | 4455.07
            162 | West Tattersill      | Online      |          540.01 | Parts       | Christian | Versace           | forgetting birthdays                 |      4 | 29 April 2022     | 9696.84
            163 | Shepard Rawcliffe    | Athens      |          819.18 | Fitness     | Katherine | HSBC              | Turn Anything into a Dad Joke        |      5 | 20 June 2023      | 6523.19
            164 | Waldo Dary           | Los Angeles |          622.64 | Fitness     | Christian | Versace           | Incredible Nose Hair Growth          |      6 | 10 August 2024    | 2418.04
            165 | Daveta Mather        | Athens      |          755.48 | Promotional | Rose      | Ikea              | Incredible Juggling Skills           |     10 | 10 March 2022     | 3097.55
            166 | Robinson Sapsforde   | Crewe       |          539.74 | Glamour     | Christian | Reebok            | Telepathic Puns                      |      5 | 17 December 2024  |  5615.6
            167 | Bjorn Tootin         | Crewe       |          212.03 | Commercial  | Rose      | Harrods           | perfect pitch                        |     10 | 04 July 2024      | 4732.05
            168 | Cristal Jorck        | Athens      |          796.53 | Promotional | Verity    | Harrods           | perfect pitch                        |      9 | 15 June 2023      | 2201.35
            169 | Brandice Lamberton   | Los Angeles |          712.52 | Promotional | Katherine | Chanel            | Unbreakable Shoelaces                |      0 | 31 August 2025    | 1905.51
            170 | Auguste Fisbey       | Los Angeles |           57.17 | Glamour     | Paul      | Ebay              | Infinite Dad Jokes                   |      3 | 07 October 2024   | 4119.01
            171 | Amber Nisuis         | Los Angeles |           40.47 | Fitness     | Rose      | Prada             | Incredible Nose Hair Growth          |      8 | 20 December 2024  | 3022.28
            172 | Zared Hartropp       | Athens      |          294.07 | Commercial  | Katherine | Marks and Spencer | Incredible Nose Hair Growth          |      3 | 03 May 2022       | 9878.76
            173 | Morlee Thomtson      | Stockholm   |          927.93 | Commercial  | Christian | Wayfair           | Uncontrollable Tickling              |      9 | 11 May 2023       | 1704.39
            174 | Kenny Petrelluzzi    | Milan       |          853.31 | Commercial  | Alex      | Louis Vuitton     | wiggle ears                          |      3 | 07 August 2023    | 7216.39
            175 | Veronica Guidoni     | London      |          276.57 | Commercial  | Rose      | Reebok            | touch nose with tongue               |      7 | 03 December 2024  | 3793.78
            176 | Cloris Durrell       | Athens      |          814.26 | Commercial  | Rose      | Harrods           | Ability to Speak in Animal Languages |      6 | 15 June 2025      | 8471.67
            177 | Ingeberg Wooderson   | Crewe       |          669.02 | Glamour     | Christian | Valentino         | fall asleep anywhere                 |      0 | 21 January 2024   | 5151.73
            178 | Vince Dendon         | Stockholm   |           353.1 | Swimsuit    | Rose      | Prada             | Infinite Hiccups                     |      7 | 26 October 2023   | 1436.69
            179 | La verne Scroxton    | Los Angeles |          917.21 | Commercial  | Katherine | Oricle            | Uncontrollable Tickling              |      3 | 07 March 2022     | 1800.06
            180 | Even Fayerbrother    | London      |          382.68 | Swimsuit    | Alex      | Poundland         | Super Sticky Fingers                 |      2 | 22 February 2023  | 3228.12
            181 | Lottie Oulner        | Athens      |             725 | Fitness     | Verity    | Versace           | Infinite Clumsiness                  |      4 | 24 September 2024 | 3258.72
            182 | Ker Kidman           | London      |          168.78 | Swimsuit    | Paul      | Fendi             | Unlimited Dance Moves                |      3 | 22 February 2023  | 9135.05
            183 | Codie Warters        | Milan       |           23.24 | Glamour     | Katherine | Givenchy          | Turn Anything into a Dad Joke        |      6 | 23 December 2022  | 1086.75
            184 | Tito Naisbit         | Los Angeles |          235.89 | Fitness     | Kev       | Salomon           | Extreme Rubber Face Flexibility      |      5 | 25 January 2022   |  5136.9
            185 | Tomkin Soan          | Los Angeles |          324.56 | Promotional | Paul      | Aldi              | Invisible Sneeze                     |      7 | 20 April 2022     |  9400.5
            186 | Lotty Kristoffersen  | Stockholm   |          797.85 | Swimsuit    | Rose      | Vinted            | Infinite Dad Jokes                   |     10 | 03 November 2023  |  5868.6
            187 | Esma Penning         | London      |          696.91 | Parts       | Verity    | Buff              | Incredible Nose Hair Growth          |      6 | 16 December 2022  | 6305.37
            188 | Tony Rime            | Los Angeles |          544.18 | Fitness     | Paul      | Stella McCartney  | Incredible Juggling Skills           |      7 | 10 April 2023     | 3280.61
            189 | Evangelia Cristea    | Los Angeles |          289.02 | Parts       | Paul      | Wayfair           | Invisible Air Guitar Playing         |      8 | 03 March 2022     | 2123.16
